Text,label
"i thought it was not the best re cap episode i've every seen though my viewing partner handed me a tissue in anticipation of the brendan fraser moment... sigh . it was nice to see cox outside of the incessantly brittle coxism state he is in these days, if only for brief moments. i also enjoyed trying to place the episodes included by the length of the character's hair or height, in case of jd and the youthfulness of the earliest episodes. i can also see how zach might be well on the way to a very chevy chase or is that matthew perry? prat fall induced chemical slide already acknowledged on conan . a little side note, the song now stuck in my head from the janitor induced dance montage was diner by martin sexton.",0
"if u find some good advice that helps, send it my way my one y.o. is a biter in the making if i find a soln i will share too",0
"this was one of those films i would always come across be it on tv or cheap dvd , but never struck me to give it a shot as i thought i wasn't missing out on much. it was on one night and i thought oh well why not. a good decision too, as i would kick myself for taking so long to get around to it. for me it left me impressed, as it's up there with burt reynold's best features 'deliverance', 'white lightning' and 'boogie nights' and streams back to those 70s 80s gritty, hardboiled urban crime thrillers that weren't afraid to be forebodingly obscure and go out of their way to set up characters, pack it with realistically brutal force and effectively incorporate the local locations atlanta being the case here to the fold with grounded photography. in certain shades it kind of reminded me of 'dirty harry', but that's loosely. however it's saucily honed blues score with its simmering kicks, funky shifts and unhinged sounds, very much had me thinking of lalo schifrin's pulsating score he orchestrated for 'dirty harry'. the music soundtrack on the other hand is hit or miss.sgt. tom sharky was an atlantic narcotic agent before a slip out during a bust saw him demoted to vice work. along with his new squad they come across a prostitution ring, which catches their interest due to fact it's owned by one hard to track and to convict crime lord. what they dig up involves a prominent government figure and a call girl which can give them some important names, but they must get to her before she's made a target.burt reynold's acts, but also directs in an unyieldingly firm and muscular fashion which would suit his laconically hard nosed performance and gerald di pego's thematically hard bitten and taut screenplay that was adapted from william diehl's novel . well he does show some sort of heart insightful thoughts amongst that armor within the scenes involving the fetchingly able british actress rachel ward, be it the stake out scenes when he's watching her from another building and slowly becoming infatuated by her to when they finally come together, but these latter interactions mid way through do slow up the momentum but give it noir like strokes. the performances are fairly spot on with reynold's formulating a great rapport with exceptional actors charles durning, earl holliman, brian keith, richard libertini and bernie casey. the scathing profanity and witty dialogues between these guys were a blast. as for the corrupt villains, vittorio gassman builds imposing strength and power, but it's henry silva who seems born for these roles icily cunning and unstoppable turn that makes the show. where his appearance seems to outline things to come and help them fall into place. plus his adrenaline filled and violent cat and mouse climax with sharky and his team is brilliantly done.the exciting action passages might be quick and dry, but remain lethally violent like an immensely teeth grinding interrogation sequence. some handy, old fashion filming techniques add to the suspense. the intriguing material keeps it quite tactical being character derived, but when we think its smooth sailing it offers up a blunt surprise or two along with some intensely brunt confrontations.",1
"i followed pediatrician recommendations to start with rice cereals and oatmeals etc. mixed with breastmilk. they all seem like sawdust, though. so if you're going to be like me and feed your kid sawdust, this is probably the best sawdust there is with all its dha and organic goodness.",1
"these peanuts are very fresh and crunchy. they are not salty enough to satisfy me, but i don't need to be eating so much salt! the peanuts are heads above what is available locally. delivery was exceptional through amazon!",1
"i received my order and haven't tasted the sauce yet it's probably just fine but it's clearly not two 17 ounce bottles of sauce it's two 12.7 ounce bottles ... almost a third smaller. i know this doesn't seem like a huge deal, but c'mon, i'm already paying through the nose for this stuff, don't rip me off even more.",0
"this show makes me and many others hate their lives. let's face it, zoey is perfect she's bland pretty, gets good grades, everyone goes to her for advice, she's popular, she goes to an amazing school with amazing rooms. reasons why i gave this show a 3 1. the acting is horrible.sometimes i just want to hurt the people who put these untalented actresses especially victoria justice on television. 2. the characters are unbelievable and mismatched. you have your typical popular girl. a peppy, shallow, stupid ,stereotypical, girl who is portrayed by a horrible actress. then you have a typical jock guy who is somewhat normal and actually nice.then the stereotyped smart girl who is a freak and obviously does not fit in with the perfect popular friends of hers. then a stuck up rich pretty boy that would be happier gazing into a mirror all day. then the wanna be actress who is played by another stinky actress. and last a normal nerd person guy. 3. the plot is boring, and lame. 4. i hate how spoiled these characters are. can't they just be normal! 5. everything ends up perfect for them, and we all are reminded of how much our lives stink.",0
"bed, alone again hope you're all having fun in wildwood!",0
no one is signing up to come talk? the lighting on this webcam sucks anyway...,0
"the web information fails to mention the main ingredient is alcohol, with a small percentage as pure extract.",0
i was greatly disappointed in this stuff. they call it cookies but it just dried out chips with little flavor.,0
"the second coming of suzanne is yet another one of those surrealistic films that tries to come across as extremely sophisticated, yet all it does is put the viewer to sleep. like other movies of this type, there is limited dialogue. everyone is much more interested in the visual aesthetic of the shot. however, the cinematography stinks so there is nothing at all to keep your attention.the video box states that this film is one of the most exciting visual adventures ever seen on film. yeah...sure. it's right up there with watching such stimulating events as a bucket of ice melting or a turtle walking for a mile. 1 10",0
"i caught this movie on the sundance channel on cable one late afternoon. you might say who loves the sun is a perfect leisurely pastime of a story, why ever not. you get to hang out with the trio lukas haas is will returning after abruptly leaving everyone years ago , molly parker is maggie we learn she's very much part of the family bloom , and adam scott is daniel is he friend or foe or fianc , by the scenic falcon lake, manitoba, canada, captured in graphic compositions juxtaposed in vivid summer colors against sunshine and shadows. and supporting the trio are two more family members in the revealing mix wendy crewson is mom mary bloom, and r.h. thomson is dad arthur bloom. writer director matt bissonnette has delivered an ingenious unfolding of story line and its various tentacle links worry not, haas may have a 'listless' face, but humor will come as parker and scott enter the circle of friends reunited, wry smiles will break and knowing delights stir. dialogs may be terse or even nil, yet we'd get the flavor of what's cooking, bemused or wondering.yes, who loves the sun can very well be categorized as a sleeper gem. the chemistry between all five principals sure gels and 'combusts', giving an energetic ensemble performance. after all, it's all in the family, and the film sure doesn't take itself too seriously.looks like the official site is still available at wholovesthesun.com and there are information on the soundtrack by mac mccaughan portastatic with guitar tunes and strings where score excerpts are being played, and behind the scenes production notes, interview with writer director producer bissonnette on how the movie and concept came about, the casting and more. have always appreciate molly parker since her spare yet mesmerizing performance in 1996 lynne stopkewich's 'kissed', and she's married to bissonnette, who wrote the maggie part for molly.",1
erf can't listen to it at work,0
"this movie is just plain silly. almost every scene has some bit of humor running gags, slapstick, and great jokes. the acting isn't that great, and the plot is cliche, but the jokes more than make up for that. if you have a chance to see this movie, i recommend that you do.",1
"i bought these because of the good reviews and because it makes more sense to buy lentil soup canned than it does to spend 6 every day getting the same thing from pret, soupman, or hale and hearty in manhattan during the workweek.since it's not exactly a complicated soup, and since i liked the soups at all three of those places, i figured i couldn't go wrong with this item.i was mistaken.this soup's texture better resembles gravy than soup. the smell and the texture also reminded me far more of a can of beans than lentil soup.now, pret's lentil soup is also quite thick, so i'm not sure that's what puts me off. pret's soup is indeed loaded with sodium but i don't think that accounts for the difference in taste, as this product isn't even the low sodium version.taste, of course, is subjective, and it's clear that others like it. as for me, well, i've got 11 cans of soup for which i need to find a homeless shelter.",0
"these are great treats, even for fussy dogs. the glucosamine and chrondroitin realy do help older dogs with their joints.",1
"used to watch this when i was very little, then used to watch my videos. now i watch the dvds, i love this. ray winston is 'the dude', the rest of the cast is all good and even with the changing of robin hood it all works. great stories, twists and the way it was shot to the untrained eye not that mine is trained can be miss interpreted as being ropey but it adds to the films absorption of the audience. with the green hillsides and the contrast of the lush sunny lit forest to the dark corridors and dungeons of the castles its great. personally the definitive interpretation of the robin hood legend. i cannot stress how much i think you should watch this, if you get a chance then you must watch it.",1
"well, if you do, then you'll love these honey maid fresh stacks. they are the usual, delicious honey maid graham crackers, only they are halved into squares which are packed into 6 separate servings of 6 squares. the point? to keep them fresh, which is much appreciated, and also to make them ready to pack for lunch or travel! great idea! i've had graham crackers that have been in the fridge too long, and they're not so good. these are crisper than i'm even used to ever having. the individual packages are sometimes tough to open, but that is my only complaint here. well, that and one other. aren't you going to make fresh stacks of the chocolate grahams? love those. and i know my mom loves the cinnamon ones. as yet though, i have only seen the honey version in fresh stacks form.",1
"and bartels, i'm sorry, i cut you out of my display pic",0
"north and south 1985 patrick swayze, james read, lesley anne down, wendy kilbourne, terri garber, kirstie alley, genie francis, phillip casnoff, jean simmons, john stockwell, lewis smith, david carradine, inga swenson, jonathan frakes, wendy fulton, erica gimpel, tony frank, jim metzler, olivia cole, andy stahl, william ostrander, george stanford brown, robert mitchum, morgain fairchild, johnny cash, hal holbrook, gene kelly, david ogden stiers, john anderson, lee bergere, olivia de havilland, elizabeth taylor, forest whitaker, robert jones, ....director richard t. heffron, teleplay...paul f. edwards, patricia green, douglas heyes, kathleen a. shelley.based on john jake's successful paperback novels north and south , love and war and heaven and hell , this was a mini series on television from 1985 to 1987. its success owed more to the success of roots a similar civil war era slavery soap opera televised about a decade earlier in the 70's. patrick swayze, at the beginning of his career and at the time he was doing many films like dirty dancing which would make him famous, stars as orry main, a plantation born young man from south carolina who sets off to west point. here he meets george hazard james read who is supposed to be the hated enemy, the yankee north, but with whom he bonds closely. soon, the mains from the south and the hazards from the north become friends despite the turbulent era leading to civil war. the theme of family, friendship and doing the right thing even when the nation was falling apart is at the heart of this otherwise soap opera full of action and romance. clariss and ashton jean simmons and teri garber portray sisters who become enemies when one of them marries yankee billy hazard john stockwell. garber's bitchy, seductive, manipulative, ambitious and evil ashton is fun to watch on screen. though the series didn't cover everything in jakes' novels, what we see is a condensed version of it and they changed a few things to make it a sort of historical romance with history lessons attached. the characters find themselves in all the major civil war scenes harper's ferry where abolitionist and feminist virgilia hazard kirstie alley loses the love of her life, the ex slave grady, fort sumter, vicksburg, antietam, gettysburg, appomatox and we are privy to the white house where we see abraham lincoln hal halbrook battle out the war in his conscience, we meet all the prominent players including lee, grant, sherman, jackson and davis. several veteran hollywood actors from the golden era robert mitchum, elizabeth taylor and olivia de havilland have cameos and it's interesting to see them. this is not historical fact, it's historical fiction and purely dramatized entertainment. but it's got cliffhanger endings and beautiful cinematography, costumes and locations. it is like watching an epic movie that runs longer than gone with the wind with with war scenes in it! the script may be bad at times and the acting may not be the best, despite the good casting. swayze hams it up as does terri garber but some performances, like that of kirstie alley, james read as george hazard and leslie anne downes as the beautiful and strong madeline are really good performances. they shot in sets and in southern locations.the music is enchanting and this is a feel good film in which we root for the good guys and watch the villains scheme and ultimately get their comeuppance. all fans of civil war movies and the jakes novels should watch this. it's available on dvd and vhs.",1
"although this was very easy to make, i found it to be very dissapointing. it did not have a very strong cheese flavor at all, and tasted very artificial. it did not look too appetizing either the color was a little too vibrant.",0
